source_x,title,doi,license,abstract,publish_time,journal,url,volume,issue,start_page,end_page,id
DP FAMNIT,What is Ars Mathematica Contemporanea?,NA,CC BY 4.0,NA,2008-06-15,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/83,1,1,NA,NA,1
DP FAMNIT,CoNE Revisited - Celebrating the Inspirations of Michael O. Albertson,NA,CC BY 4.0,NA,2009-09-06,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/137,2,2,NA,NA,2
DP FAMNIT,The Mathematics of Klee & Grünbaum - 100 Years in Seattle,NA,CC BY 4.0,NA,2009-09-06,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/138,2,2,NA,NA,3
DP FAMNIT,Computers in Scientific Discovery 5,NA,CC BY 4.0,NA,2009-09-06,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/139,2,2,NA,NA,4
DP FAMNIT,The Fifth General Conference - AMaMeF 2010,NA,CC BY 4.0,NA,2009-09-06,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/140,2,2,NA,NA,5
DP FAMNIT,The scope,NA,CC BY 4.0,NA,2009-12-24,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/158,3,1,NA,NA,6
DP FAMNIT,7th Slovenian international conference on graph theory,NA,CC BY 4.0,NA,2009-12-24,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/164,3,1,NA,NA,7
DP FAMNIT,7th Slovenian International Conference on Graph Theory,NA,CC BY 4.0,NA,2010-08-12,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/184,3,2,NA,NA,8
DP FAMNIT,The Printed Edition,NA,CC BY 4.0,NA,2010-08-12,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/185,3,2,NA,NA,9
DP FAMNIT,Disjoint homometric sets in graphs,10.26493/1855-3974.174.027,CC BY 4.0,"Two subsets of vertices in a graph are called homometric if the multisets of distances determined by them are the same. Let h(n) denote the largest number h such that any connected graph of n vertices contains two disjoint homometric subsets of size h. It is shown that (c log n)/(log log n) < h(n) < n/4, for n > 3.",2010-08-23,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/174,4,1,1,4,10
DP FAMNIT,"More results on r-inflated graphs: Arboricity, thickness, chromatic number and fractional chromatic number",10.26493/1855-3974.175.b78,CC BY 4.0,"The r-inflation of a graph G is the lexicographic product G with Kr. A graph is said to have thickness t if its edges can be partitioned into t sets, each of which induces a planar graph, and t is smallest possible. In the setting of the r-inflation of planar graphs, we investigate the generalization of Ringel's famous Earth-Moon problem: What is the largest chromatic number of any thickness-t graph? In particular, we study classes of planar graphs for which we can determine both the thickness and chromatic number of their 2-inflations, and provide bounds on these parameters for their r-inflations. Moreover, in the same setting, we investigate arboricity and fractional chromatic number as well. We end with a list of open questions.",2010-08-23,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/175,4,1,5,24,11
DP FAMNIT,Graphs with chromatic numbers strictly less than their colouring numbers,10.26493/1855-3974.176.704,CC BY 4.0,"The colouring number of a graph G, defined as col(G) = 1+ maxH ⊆ G δ(H), is an upper bound for its chromatic number. In this note, we prove that it is NP-complete to determine whether an arbitrary graph G has chromatic number strictly less than its colouring number.",2010-08-23,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/176,4,1,25,27,12
DP FAMNIT,A new proof of 3-colorability of Eulerian triangulations,10.26493/1855-3974.193.8e7,CC BY 4.0,"Using the existence of noncrossing Eulerian circuits in Eulerian plane graphs, we give a short constructive proof of the theorem of Heawood that Eulerian triangulations are 3-colorable.",2010-08-23,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/193,4,1,73,77,13
DP FAMNIT,On 2-factors with long cycles in cubic graphs,10.26493/1855-3974.194.abe,CC BY 4.0,"Every 2-connected cubic graph G has a 2-factor, and much effort has gone into studying conditions that guarantee G to be Hamiltonian. We show that if G is not Hamiltonian, then G is either the Petersen graph or contains a 2-factor with a cycle of length at least 7. We also give infinite families of, respectively, 2- and 3-connected cubic graphs in which every 2-factor consists of cycles of length at most, respectively, 10 and 16.",2010-08-23,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/194,4,1,79,93,14
DP FAMNIT,Gray code numbers for graphs,10.26493/1855-3974.196.0df,CC BY 4.0,"A graph H has a Gray code of k-colourings if it is possible to list all of its k-colourings in such a way that consecutive elements in the list differ in the colour of exactly one vertex. We prove that for any graph H, there is a least integer k0(H) such that H has a Gray code of k-colourings whenever k ≥ k0(H). We then determine k0(H) whenever H is a complete graph, tree, or cycle.",2010-08-23,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/196,4,1,125,139,15
DP FAMNIT,Graphs with maximum degree 5 are acyclically 7-colorable,10.26493/1855-3974.198.541,CC BY 4.0,An acyclic coloring is a proper coloring with the additional property that the union of any two color classes induces a forest. We show that every graph with maximum degree at most 5 has an acyclic 7-coloring. We also show that every graph with maximum degree at most r has an acyclic (1 + ⌊(r + 1)2/4⌋-coloring.,2010-08-23,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/198,4,1,153,164,16
DP FAMNIT,"Chromatic number, independence ratio, and crossing number",10.26493/1855-3974.10.2d0,CC BY 4.0,"Given a drawing of a graph G, two crossings are said to be dependent if they are incident with the same vertex. A set of crossings is independent if no two are dependent. We conjecture that if G is a graph that has a drawing all of whose crossings are independent, then the chromatic number of G is at most 5. We show that this conjecture is true if the crossing number of G is at most three. We also show that if all crossings are independent, then the chromatic number of G is at most 6, and the independence ratio of G is at least 3/16.",2008-06-15,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/10,1,1,1,6,17
DP FAMNIT,Rose window graphs,10.26493/1855-3974.13.5bb,CC BY 4.0,"This paper introduces a family of tetravalent graphs called "";rose window graphs"";, denoted R_n(a, r), and investigates their symmetry properties. Four families of these graphs are shown to be edge-transitive and it is conjectured that every R_n(a, r) which is edged-transitive belongs to one of these families. Proofs and conjectures about the size of a dart-stabilizer and about regular maps containing these graphs are also offered.",2008-06-17,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/13,1,1,7,19,18
DP FAMNIT,Coalesced and embedded nut graphs in singular graphs,10.26493/1855-3974.20.7cc,CC BY 4.0,"A nut graph has a non-invertible (singular) 0-1 adjacency matrix with non-zero entries in every kernel eigenvector. We investigate how the concept of nut graphs emerges as an underlying theme in the theory of singular graphs. It is known that minimal configurations (MCs) are necessarily found as subgraphs of singular graphs. We construct MCs having nut graphs as subgraphs. Nut graphs can be coalesced with singular graphs at particular vertices or grown into a family of core graphs of larger nullity by adding a vertex at a time. Moreover, we propose a construction of nut line graph of trees by coalescence and a local enlargement of nut fullerenes and tetravalent nut graphs.",2008-06-19,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/20,1,1,20,31,19
DP FAMNIT,An optimality criterion for the crossing number,10.26493/1855-3974.43.506,CC BY 4.0,"A suffcient condition is given that a certain drawing minimizes the crossing number. The condition is in terms of intersections in an arbitrary set system related to the drawing, and is like a correlation inequality.",2008-06-19,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/43,1,1,32,37,20
DP FAMNIT,On the Cayley isomorphism problem for a digraph with 24 vertices,10.26493/1855-3974.51.89f,CC BY 4.0,"In this paper we are mainly concerned with the Cayley isomorphism problem for groups containing $Q_8$. We prove that the group $Q_8\times C_3$ is not a CI-group with respect to colour ternary relational structures. Further, we prove that the non-nilpotent group $Q_8\rtimes C_3$ is not a CI-group with respect to graphs.",2008-06-19,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/51,1,1,38,43,21
DP FAMNIT,"On graphs with the smallest eigenvalue at least −1 − √2, part I",10.26493/1855-3974.35.fe9,CC BY 4.0,"There are many results on graphs with the smallest eigenvalue at least -2. As a next step, A. J. Hoffman proposed to study graphs with the smallest eigenvalue at least -1 - √2. In order to deal with such graphs, R. Woo and A. Neumaier defined a new generalization of line graphs which depends on a family of isomorphism classes of graphs with a distinguished coclique. They proved a theorem analogous to Hoffman's, using a particular family consisting of four isomorphism classes. In this paper, we deal with a generalization based on a family H smaller than the one which they dealt with, yet including generalized line graphs in the sense of Hoffman. The main result is that the cover of an H-line graph with at least 8 vertices is unique.",2008-07-01,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/35,1,1,81,98,22
DP FAMNIT,Vertex-weighted Wiener polynomials for composite graphs,10.26493/1855-3974.15.895,CC BY 4.0,Recently introduced vertex-weighted Wiener polynomials are a common generalization of both vertex-weighted Wiener numbers and ordinary Wiener polynomials. We present here explicit formulae for vertex-weighted Wiener polynomials of the most frequently encountered classes of composite graphs.,2008-07-01,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/15,1,1,66,80,23
DP FAMNIT,Exotic behaviour of infinite hypermaps,10.26493/1855-3974.24.035,CC BY 4.0,"This is a survey of infinite hypermaps, and of how they can be constructed by using examples and techniques from combinatorial group theory, with particular emphasis on phenomena which have no analogues for finite hypermaps.",2008-07-01,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/24,1,1,51,65,24
DP FAMNIT,A new class of movable (<i>n</i><sub>4</sub>) configurations,10.26493/1855-3974.17.de0,CC BY 4.0,"A geometric (n4) configuration is a collection of n points and n lines, usually in the Euclidean plane, so that every point lies on four lines and every line passes through four points. This paper introduces a new class of movable ((5m)4) configurations---that is, configurations which admit a continuous family of realizations fixing four points in general position but moving at least one other point---including the smallest known movable (n4) configuration.",2008-07-04,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/17,1,1,44,50,25
DP FAMNIT,Recent trends and future directions in vertex-transitive graphs,10.26493/1855-3974.81.679,CC BY 4.0,"A graph is said to be vertex-transitive if its automorphism group acts transitively on the vertex set. Some recent developments and possible future directions regarding two famous open problems, asking about existence of Hamilton paths and existence of semiregular automorphisms in vertex-transitive graphs, are discussed, together with some recent results on arc-transitive graphs and half-arc-transitive graphs, two special classes of vertex-transitive graphs that have received particular attention over the last decade.",2008-08-21,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/81,1,2,112,125,26
DP FAMNIT,Hypercube embedding of Wythoffians,10.26493/1855-3974.26.6c7,CC BY 4.0,"The Wythoff construction takes a d-dimensional polytope P, a subset S of {0, ..., d} and returns another d-dimensional polytope P(S). If P is a regular polytope, then P(S) is vertex-transitive. This construction builds a large part of the Archimedean polytopes and tilings in dimension 3 and 4. We want to determine, which of those Wythoffians P(S) with regular P have their skeleton or dual skeleton isometrically embeddable into the hypercubes Hm and half-cubes 1/2 Hm. We find six infinite series, which, we conjecture, cover all cases for dimension d > 5 and some sporadic cases in dimension 3 and 4 (see Tables 1 and 2). Three out of those six infinite series are explained by a general result about the embedding of Wythoff construction for Coxeter groups. In the last section, we consider the Euclidean case; also, zonotopality of embeddable P(S) are addressed throughout the text.",2008-08-22,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/26,1,1,99,111,27
DP FAMNIT,Some star complements for the second largest eigenvalue of a graph,10.26493/1855-3974.11.d83,CC BY 4.0,"The star complement technique is a spectral tool recently developed for constructing some bigger graphs from their smaller parts, called star complements. The most frequently, the implementation of those technique requires using the computers. Therefrom, we develop an SCL (star complement library) – the set of programs providing easy and quick implementation of those technique. Here, we present the facilities of SCL. In further, we determine some star complements for 1 or (√5 – 1)/2 as the second largest eigenvalue of a graph. Finally, using the SCL, we consider the maximal extensions of the star complements obtained.",2008-10-14,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/11,1,2,126,136,28
DP FAMNIT,Some of my favorite “lesser known” problems,10.26493/1855-3974.25.7bd,CC BY 4.0,"Some problems become famous and attract attention while others collect dust on the shelf. Large conferences are a great breeding ground for popularizing both old and new problems. In this note we present some off the shelf problems.
 

 ",2008-11-05,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/25,1,2,137,143,29
DP FAMNIT,"Cayley graphs, Cori hypermaps, and dessins d'enfants",10.26493/1855-3974.91.30f,CC BY 4.0,"This paper explains some facts probably known to experts and implicitely contained in the literature about dessins d'enfants but which seem to be nowhere explicitely stated. The 1-skeleton of every regular Cori hypermap is the Cayley graph of its automorphism group, embedded in the underlying orientable surface. Conversely, every Cayley graph of a finite two-generator group has an embedding as the 1-skeleton of a regular hypermap in the Cori representation. For non-regular hypermaps there is an analogous correspondence with Schreier coset diagrams.",2008-11-05,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/91,1,2,144,153,30
DP FAMNIT,Small label classes in 2-distinguishing labelings,10.26493/1855-3974.31.d93,CC BY 4.0,"A graph G is said to be 2-distinguishable if there is a labeling of the vertices with two labels so that only the trivial automorphism preserves the labels. Call the minimum size of a label class in such a labeling of G the cost of 2-distinguishing G and denote it by ρ(G). This paper shows that for n ≥ 5, ⌈log2 n ⌉ + 1 ≤ ρ(Qn) ≤ 2⌈log2n⌉ − 1, where Qn is the hypercube of dimension n.",2008-11-27,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/31,1,2,154,164,31
DP FAMNIT,A note on transitive permutation groups of degree twice a prime,10.26493/1855-3974.80.880,CC BY 4.0,"In this note, we consider transitive permutation groups of degree 2p, where p is an odd prime, that admit blocks of imprimitivity of size 2 but no blocks of imprimitivity of size p.",2008-12-01,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/80,1,2,165,168,32
DP FAMNIT,Relating embedding and coloring properties of snarks,10.26493/1855-3974.49.b88,CC BY 4.0,"In 1969, Grünbaum conjectured that snarks do not have polyhedral embeddings into orientable surfaces. We define the defect of a graph and use it to study embeddings of superpositions of cubic graphs into orientable surfaces. Superposition was introduced by Kochol to construct snarks with arbitrary large girth. It is shown that snarks constructed by Kochol do not have polyhedral embeddings into orientable surfaces. For each k = 2 we construct infinitely many snarks with defect precisely k. We then relate the defect with the resistance r(G) of a cubic graph G which is the size of a minimum color class of a 4-edge-coloring of G. These results are then extended to deal with some weaker versions of the Grünbaum Conjecture.",2008-12-19,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/49,1,2,169,184,33
DP FAMNIT,Cayley graphs and symmetric 4-polytopes,10.26493/1855-3974.79.919,CC BY 4.0,"Previously we have investigated the medial layer graph $\mathcal{G}$ for a finite, self-dual, regular or chiral abstract 4-polytope $\mathcal{P}$. Here we study the Cayley graph $\mathcal{C}$ on a natural group generated by polarities of $\mathcal{P}$, show that $\mathcal{C}$ covers $\mathcal{G}$ in a readily computable way and construct $\mathcal{C}$ as a voltage graph over $\mathcal{G}$. We then examine such symmetric graphs for several interesting families of polytopes of type {p,q,p}, p = 3, 4, 5.",2008-12-23,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/79,1,2,185,205,34
DP FAMNIT,Omittable lines,10.26493/1855-3974.69.cc6,CC BY 4.0,"Given a collection of n lines in the real projective plane, a line $\ell$ is said to be omittable if $\ell$ is free of ordinary points of intersection---in other words, if all the intersection points of $\ell$ with other lines from the collection come at the intersection of three or more lines. Given a collection of lines $\mathcal{L}$, denoting by $\mathcal{O(L)}$ the set of all omittable lines in the collection and by $g(\mathcal{L})$ the cardinality of $\mathcal{O(L)}$, we describe three infinite families of lines that can serve as $\mathcal{O(L)}$ for suitable $\mathcal{L}$ and also display a finite set of sporadic additional examples in which $\mathcal{O(L)}$ does not fall into any of the three families. We derive bounds on the size of $g(\mathcal{L})$ when $\mathcal{O(L)}$ falls into one of the three infinite families and weaker bounds for the more general case.",2008-12-24,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/69,1,2,206,222,35
DP FAMNIT,Injectivity radius of representations of triangle groups and planar width of regular hypermaps,10.26493/1855-3974.50.b13,CC BY 4.0," We develop a rigorous algebraic background for representations of triangle groups in linear groups over algebras arising from factor rings of multivariate polynomial rings. This is then used to substantially improve the existing upper bounds on the order of epimorphic images of triangle groups with a given injectivity radius and, analogously, the size of the associated hypermaps of a given type with a given planar width.

 ",2008-12-28,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/50,1,2,223,241,36
DP FAMNIT,The easy part?,NA,CC BY 4.0,NA,2008-12-31,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/96,1,2,NA,NA,37
DP FAMNIT,A catalogue of simplicial arrangements in the real projective plane,10.26493/1855-3974.88.e12,CC BY 4.0,"An arrangement is the complex generated in the real projective plane by a finite family of straight lines that do not form a pencil. The faces of an arrangement are the connected components of the complement of the union of lines. An arrangement is simplicial if all its faces are simplices (triangles). The present paper updates the only previous catalogue of simplicial arrangements, published almost 40 years ago, and presented in a very condensed form. The simplicial arrangements often provide optimal solutions for various problems. A problem that seems very hard is to decide whether the collection presented here is a complete listing of simplicial arrangements.",2009-01-15,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/88,2,1,1,25,38
DP FAMNIT,Characterizing posets for which their natural transit functions coincide,10.26493/1855-3974.72.9d1,CC BY 4.0,"The standard poset transit function of a poset P is a function TP that assigns to a pair of comparable elements the interval between them, while TP(x,y) = {x,y} for a pair x, y of incomparable elements. Posets in which the standard poset transit function coincides with the shortest-path transit function of its cover-incomparability graph are characterized in three ways, in particular with forbidden subposets.",2009-01-21,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/72,2,1,27,33,39
DP FAMNIT,Large sets of long distance equienergetic graphs,10.26493/1855-3974.93.e75,CC BY 4.0,"Distance energy of a graph is a recent energy-type invariant, defined as the absolute deviation of the eigenvalues of the distance matrix of the graph. Two graphs of the same order are said to be distance equienergetic if they have equal distance energy, while they have distinct spectra of their distance matrices. Examples of pairs of distance equienergetic graphs appear in the literature already, but most of them have diameter two only.
We describe here the distance spectrum of a special composition of regular graphs, and, as an application, we show that for any n ≥ 3, there exists a set of n + 1 distance equienergetic graphs which have order 6n and diameter n − 1 each.",2009-01-25,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/93,2,1,35,40,40
DP FAMNIT,The strongly distance-balanced property of the generalized Petersen graphs,10.26493/1855-3974.75.895,CC BY 4.0,"A graph X is said to be strongly distance-balanced whenever for any edge uv of X and any positive integer i, the number of vertices at distance i from u and at distance i + 1 from v is equal to the number of vertices at distance i + 1 from u and at distance i from v. It is proven that for any integers k ≥ 2 and n ≥ k2 + 4k + 1, the generalized Petersen graph GP(n, k) is not strongly distance-balanced.",2009-01-25,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/75,2,1,41,47,41
DP FAMNIT,Edge-contributions of some topological indices and arboreality of molecular graphs,10.26493/1855-3974.68.51b,CC BY 4.0,"Some graph invariants can be computed by summing certain values, called edge-contributions over all edges of graphs. In this note we use edge-contributions to study relationships among three graph invariants, also known as topological indices in mathematical chemistry: Wiener index, Szeged index and recently introduced revised Szeged index. We also use the quotient between the Wiener index and the revised Szeged index to study tree-likeness of graphs.",2009-01-29,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/68,2,1,49,58,42
DP FAMNIT,On overgroups of regular abelian p-groups,10.26493/1855-3974.70.960,CC BY 4.0,"Let G be a transitive group of odd prime-power degree whose Sylow p-subgroup P is abelian with t elementary divisors. We show that if p > 2t − 1, then G has a normal subgroup that is a direct product of t permutation groups of smaller degree that are either cyclic or doubly-transitive simple groups. As a consequence, we determine the full automorphism group of a Cayley digraph of an abelian group with two elementary divisors such that the Sylow p-subgroup of the full automorphism group is abelian.",2009-01-29,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/70,2,1,59,76,43
DP FAMNIT,Vulnerability bounds on the number of spanning tree leaves,10.26493/1855-3974.37.5b9,CC BY 4.0,"Hamiltonicity and vulnerability of graphs are in a strong connection. A basic necessary condition states that a graph containing a 2-leaf spanning tree (that is a Hamiltonian path) cannot be split into more than k + 1 components by deleting k of its vertices. In this paper we consider a more general approach and investigate the connection between the number of spanning tree leaves and two vulnerability parameters namely scattering number sc(G) and cut-asymmetry ca(G). We prove that any spanning tree of a graph G has at least sc(G) + 1 leaves. We also show that if X $\subset$ V is a maximum cardinality independent set of G = (V, E) such that the elements of X are all leaves of a particular spanning tree then |X| = ca(G) + 1 = |V| − cvc(G), where cvc(G) is the size of a minimum connected vertex cover of G. As a consequence we obtain a new proof for the following results: any spanning tree with independent leaves provides a 2-approximation for both MaximumInternalSpanningTree and MinimumConnectedVertexCover problems. We also consider the opposite point of view by fixing the number of leaves to q and looking for a q-leaf subtree of G that spans a maximum number of vertices. Bermond proved that a 2-connected graph on n vertices always contains a path (a 2-leaf subtree) of length min {n,δ2}, where δ2 is the minimum degree-sum of a 2-element independent set. We generalize this result to obtain a sufficient condition for the existence of a large q-leaf subtree.",2009-02-18,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/37,2,1,77,92,44
DP FAMNIT,Distance spectrum of graph compositions,10.26493/1855-3974.103.e09,CC BY 4.0,"The D-eigenvalues μ1, μ2, ..., μp of a graph G are the eigenvalues of its distance matrix D and form the distance spectrum or the D-spectrum.  In this paper we obtain the D-spectrum of the cartesian product if two distance regular graphs. The D-spectrum of the lexicographic product G[H] of two graphs G and H when H is regular is also obtained. The D-eigenvalues of the Hamming graphs Ham(d, n) of diameter d and order nd and those of the C4 nanotori, Tk,m,C4, are determined.",2009-06-02,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/103,2,1,93,100,45
DP FAMNIT,Minimum cycle bases of direct products of graphs with cycles,10.26493/1855-3974.77.3d2,CC BY 4.0,We construct a minimum cycle basis for the direct product G × Cq where G is a connected non-bipartite graph and Cq is an odd cycle. These bases are expressed in terms of the cycle structure of the symmetric digraph on G.,2009-06-19,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/77,2,1,101,119,46
DP FAMNIT,Deciding the deterministic property for soliton graphs,10.26493/1855-3974.46.b2f,CC BY 4.0,"Soliton automata are a graph theoretic model for electronic switching at the molecular level. In the design of soliton circuits, the deterministic property of the corresponding automata is of primary importance. The underlying graphs of such automata, called deterministic soliton graphs, are characterized in terms of graphs not having even-length cycles and graphs having a unique perfect matching. On the basis of this characterization, a modification of the currently most efficient unique perfect matching algorithm is worked out to decide in O(m log4 n) time if a graph with n vertices and m edges defines a deterministic soliton automaton. A yet more efficient O(m) algorithm is given for the special case of chestnut and elementary soliton graphs. All of these algorithms are capable of constructing a state for the corresponding soliton automaton, and the general algorithm can also be used to simplify the automaton to an isomorphic elementary one.",2009-07-14,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/46,2,1,121,136,47
DP FAMNIT,On the cover of this journal,NA,CC BY 4.0,NA,2009-07-19,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/105,2,1,NA,NA,48
DP FAMNIT,Strongly regular edge-transitive graphs,10.26493/1855-3974.109.97f,CC BY 4.0,"In this paper, we examine the structure of vertex- and edge-transitive strongly regular graphs, using normal quotient reduction. We show that the irreducible graphs in this family have quasiprimitive automorphism groups, and prove (using the Classiﬁcation of Finite Simple Groups) that no graph in this family has a holomorphic simple automorphism group. We also ﬁnd some constraints on the parameters of the graphs in this family that reduce to complete graphs.",2009-09-06,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/109,2,2,137,155,49
DP FAMNIT,The genus crossing number,10.26493/1855-3974.21.157,CC BY 4.0,"Pach and Tóth [PT] introduced a new version of the crossing number parameter, called the degenerate crossing number, by considering proper drawings of a graph in the plane and counting multiple crossing of edges through the same point as a single crossing when all pairwise crossings of edges at that point are transversal. We propose a related parameter, called the genus crossing number, where edges in the drawing need not be represented by simple arcs. This relaxation has two important advantages. First, the genus crossing number is invariant under taking subdivisions of edges and is also a minor-monotone graph invariant. Secondly, it is “computable” in many instances, which is a rare phenomenon in the theory of crossing numbers. These facts follow from the proof that the genus crossing number is indeed equal to the non-orientable genus of the graph. It remains an open question if the genus crossing number can be strictly smaller than the degenerate crossing number of Pach and Tóth. A relation to the minor crossing number introduced by Bokal, Fijavž, and Mohar [BFM] is also discussed.

[BFM] D. Bokal, G. Fijavž, and B. Mohar, The minor crossing number, SIAM J. Discrete Math. 20 (2006), 344–356.
[PT] J. Pach, G. Tóth, Degenerate crossing numbers, submitted, 2006.",2009-09-06,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/21,2,2,157,162,50
DP FAMNIT,Polytopes with groups of type PGL_2(q),10.26493/1855-3974.102.290,CC BY 4.0,"There exists a unique regular polytope of rank at least 4 whose full automorphism group is a projective general linear group PGL2(q), q a prime power. This polytope is the 4-simplex and the corresponding group is PGL2(5) = S5.",2009-09-06,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/102,2,2,163,171,51
DP FAMNIT,"Counting edge-transitive, one-ended, three-connected planar maps with a given growth rate",10.26493/1855-3974.52.121,CC BY 4.0,"B. Grünbaum and G. C. Shephard have classified one-ended, 3-connected, planar, edge-transitive maps. It turns out that each of these maps can be described uniquely by an edge-symbol ‹p, q; k, ℓ›. Recently the growth rate of each of these maps has been determined by S. Graves, T. Pisanski and M. E. Watkins. We determine the number of edge-transitive maps for a given growth rate.",2009-09-18,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/52,2,2,173,180,52
DP FAMNIT,On the number of connected and disconnected coverings over a manifold,10.26493/1855-3974.98.ecc,CC BY 4.0,A general formula is obtained for the number of non-equivalent coverings (possibly disconnected) over a connected manifold with an arbitrary finitely generated fundamental group. Some illustrative examples are considered.,2009-09-18,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/98,2,2,181,189,53
DP FAMNIT,On Cartesian skeletons of graphs,10.26493/1855-3974.114.4bb,CC BY 4.0,"Under suitable conditions of connectivity or non-bipartiteness, each of the three standard graph products (the Cartesian product, the direct product and the strong product) satisfies the unique prime factorization property, and there are polynomial algorithms to determine the prime factors. This is most easily proved for the Cartesian product. For the other products, current proofs involve a notion of a Cartesian skeleton which transfers their multiplication properties to the Cartesian product. The present article introduces simplified definitions of Cartesian skeletons for the direct and strong products, and provides new, fast and transparent algorithms for their construction. Since the complexity of the prime factorization of the direct and the strong product is determined by the complexity of the the construction of the Cartesian skeleton, the new algorithms also improve the complexity of the prime factorizations of graphs with respect to the direct and the strong product. We indicate how these simplifications fit into the existing literature.",2009-09-18,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/114,2,2,191,205,54
